pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,7.000000
1000,239,8.333333
1000,280,9.166667
1000,319,10.233333
1000,360,11.700000
1000,400,11.766667
1000,439,13.900000
1000,520,17.200000
1000,479,15.033333
1000,600,18.466667
1000,560,18.933333
1000,639,22.533333
1000,759,25.833333
1000,680,21.166667
1000,719,24.000000
1000,840,28.133333
1000,800,27.533333
1000,879,29.333333
1000,919,30.500000
1000,959,30.933333
1166,200,8.366667
1166,239,8.133333
1166,280,11.200000
1166,319,11.166667
1166,360,12.766667
1000,1000,34.333333
1000,1040,33.900000
1166,400,16.466667
1166,439,16.500000
1000,1080,36.033333
1000,1120,37.933333
1166,479,19.700000
1000,1159,38.500000
1166,520,20.633333
1000,1200,39.366667
1000,1239,39.233333
1166,560,19.433333
1000,1279,43.366667
1000,1320,42.200000
1000,1360,47.733333
1166,600,22.633333
1166,639,24.666667
1166,680,25.733333
1166,719,27.433333
1166,759,27.533333
1166,800,32.833333
1166,840,32.100000
1166,879,32.533333
1333,200,8.666667
1333,239,9.166667
1166,959,36.133333
1166,919,35.733333
1166,1000,38.833333
1333,280,11.200000
1166,1040,41.000000
1166,1080,41.066667
1166,1120,42.500000
1333,319,13.433333
1166,1200,45.466667
1166,1159,44.366667
1333,360,14.700000
1166,1239,46.433333
1333,400,17.500000
1166,1279,50.200000
1333,439,18.300000
1166,1320,53.633333
1333,479,20.133333
1166,1360,52.933333
1333,520,22.900000
1333,560,23.066667
1333,600,26.933333
1333,639,28.100000
1333,680,30.733333
1333,719,32.200000
1333,759,35.166667
1333,800,34.266667
1333,840,37.633333
1333,879,39.000000
1500,200,9.300000
1333,919,38.500000
1333,959,41.133333
1333,1000,41.866667
1500,239,11.100000
1333,1040,44.900000
1333,1080,46.600000
1333,1120,49.100000
1500,280,13.266667
1500,319,15.566667
1333,1159,50.000000
1333,1200,51.166667
1500,360,16.666667
1333,1239,54.666667
1500,400,20.833333
1333,1279,57.633333
1333,1320,53.833333
1500,439,21.900000
1333,1360,58.933333
1500,479,22.333333
1500,520,25.566667
1500,560,27.066667
1500,600,27.500000
1500,639,30.400000
1500,680,34.033333
1500,719,32.800000
1500,759,35.933333
1500,800,39.666667
1500,840,41.700000
1500,879,41.466667
1666,200,10.466667
1500,919,42.866667
1500,959,44.800000
1666,239,13.233333
1500,1000,45.866667
1666,280,14.500000
1500,1040,51.133333
1500,1080,51.300000
1666,319,16.466667
1500,1120,53.500000
1500,1159,54.700000
1500,1200,59.966667
1666,360,17.900000
1500,1239,58.633333
1666,400,20.900000
1666,439,24.366667
1500,1279,61.233333
1500,1320,62.666667
1500,1360,65.400000
1666,479,26.433333
1666,560,26.300000
1666,520,26.866667
1666,600,28.466667
1666,639,34.266667
1666,680,36.233333
1666,719,39.800000
1666,759,41.500000
1666,800,42.000000
1666,840,42.700000
1666,879,45.400000
1666,919,45.833333
1833,200,11.800000
1666,959,49.966667
1666,1000,55.566667
1833,239,13.100000
1666,1040,55.433333
1833,280,15.633333
