pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,5.833333
1000,239,7.666667
1000,280,8.600000
1000,319,9.166667
1000,360,10.600000
1000,400,12.700000
1000,439,15.166667
1000,479,15.900000
1000,520,15.566667
1000,600,19.966667
1000,560,18.566667
1000,639,19.066667
1000,680,21.666667
1000,759,23.433333
1000,800,26.300000
1000,719,23.766667
1000,879,26.800000
1000,840,26.066667
1000,919,26.366667
1000,959,29.900000
1166,200,7.633333
1166,239,9.233333
1000,1000,32.066667
1166,280,9.766667
1000,1040,32.700000
1166,319,10.266667
1000,1080,34.100000
1000,1120,34.633333
1166,360,13.700000
1166,400,14.066667
1000,1159,38.233333
1166,439,15.233333
1000,1200,36.600000
1166,479,17.366667
1000,1239,38.033333
1166,520,18.000000
1000,1279,41.433333
1166,560,21.133333
1000,1320,40.466667
1000,1360,43.600000
1166,600,20.366667
1166,639,25.366667
1166,680,24.033333
1166,719,24.433333
1166,759,27.100000
1166,800,26.666667
1166,840,29.033333
1333,200,7.933333
1166,879,30.533333
1166,919,31.700000
1333,239,10.100000
1166,1000,37.366667
1166,959,33.066667
1166,1040,37.633333
1166,1080,40.166667
1333,280,11.533333
1166,1120,41.500000
1333,319,13.200000
1166,1159,40.966667
1333,360,14.066667
1166,1200,41.500000
1166,1239,45.733333
1333,400,14.900000
1166,1320,48.633333
1333,439,16.666667
1166,1279,45.400000
1333,479,18.833333
1166,1360,48.033333
1333,520,20.766667
1333,560,21.666667
1333,600,24.166667
1333,639,25.466667
1333,680,25.233333
1333,719,30.833333
1333,759,32.500000
1333,800,30.366667
1333,840,32.633333
1333,879,34.933333
1333,919,35.900000
1333,959,39.733333
1500,200,7.666667
1500,239,10.166667
1333,1000,41.733333
1500,280,14.300000
1333,1040,41.266667
1333,1080,44.466667
1500,319,14.166667
1333,1159,48.300000
1500,360,16.166667
1333,1120,45.166667
1333,1200,49.300000
1333,1239,48.700000
1500,400,17.233333
1500,439,19.300000
1333,1279,51.766667
1333,1320,52.300000
1500,479,21.533333
1333,1360,55.133333
1500,520,23.900000
1500,560,25.833333
1500,600,25.033333
1500,639,29.300000
1500,680,30.233333
1500,719,33.733333
1500,800,33.700000
1500,759,32.566667
1500,840,39.300000
1500,879,42.600000
1500,959,42.966667
1500,919,41.633333
1666,200,9.800000
1500,1000,46.133333
1500,1040,47.300000
1666,239,11.833333
1500,1080,46.633333
1666,280,13.466667
1500,1120,50.500000
1500,1159,49.233333
1500,1200,54.200000
1666,319,14.400000
1500,1239,54.766667
1666,360,19.333333
1500,1279,53.933333
1666,400,21.033333
1500,1320,58.166667
1666,439,21.166667
1500,1360,61.033333
1666,479,22.500000
1666,520,25.200000
1666,560,25.466667
1666,600,28.833333
1666,639,29.933333
1666,680,31.566667
1666,719,35.066667
1666,759,37.500000
1666,800,38.000000
1666,840,36.600000
1666,879,39.000000
1666,919,44.366667
1833,200,10.266667
1666,1000,50.800000
1666,959,45.833333
1833,239,13.533333
1666,1040,50.266667
1833,280,14.033333
1666,1120,51.266667
1833,319,16.766667
1666,1080,51.066667
1833,360,20.800000
1666,1159,55.400000
1666,1239,54.600000
1666,1200,57.200000
1833,400,20.100000
1666,1279,61.000000
1833,439,23.500000
1666,1320,63.966667
1666,1360,65.200000
1833,479,24.166667
1833,560,28.666667
1833,520,26.600000
1833,600,31.833333
1833,680,36.533333
1833,639,34.133333
1833,719,40.366667
1833,759,39.966667
1833,840,45.133333
1833,800,44.100000
1833,879,45.866667
1833,919,44.733333
1833,959,49.566667
2000,200,12.233333
1833,1000,52.033333
1833,1040,56.266667
2000,239,12.200000
2000,280,16.233333
1833,1080,57.566667
1833,1120,59.500000
2000,319,18.366667
1833,1159,59.366667
1833,1200,62.466667
1833,1239,66.666667
2000,360,20.600000
2000,400,22.133333
1833,1279,66.700000
1833,1360,69.733333
2000,439,23.733333
1833,1320,70.300000
2000,479,27.600000
2000,520,29.700000
2000,560,33.300000
2000,600,33.300000
2000,639,36.266667
2000,680,39.666667
2000,719,38.366667
2000,759,42.266667
2000,800,44.633333
2000,840,45.133333
2166,239,14.300000
2000,879,46.766667
2166,200,12.466667
2000,959,53.866667
2000,919,50.900000
2000,1000,52.933333
2000,1080,61.033333
2166,280,16.900000
2000,1040,59.333333
2166,319,19.900000
2000,1120,63.966667
2000,1159,64.733333
2000,1200,67.633333
2000,1239,69.233333
2166,360,21.866667
2166,439,27.333333
2000,1279,71.200000
2166,400,24.833333
2000,1320,71.966667
2000,1360,72.300000
2166,479,28.666667
2166,520,32.533333
2166,560,32.966667
2166,600,37.566667
2166,639,38.033333
2166,680,39.333333
2166,719,47.266667
2166,759,49.233333
2166,800,45.266667
2166,840,50.900000
2166,879,53.133333
2166,919,54.533333
2333,200,13.400000
2166,959,57.200000
2166,1000,62.100000
2166,1040,62.100000
2333,239,14.600000
2166,1080,65.033333
2333,280,19.033333
2166,1120,66.000000
2166,1159,69.200000
2166,1200,68.633333
2333,319,19.766667
2333,360,23.633333
2333,400,23.533333
2166,1239,73.133333
2166,1279,74.366667
2333,439,28.100000
2166,1320,76.400000
2166,1360,77.533333
2333,479,29.600000
2333,520,31.600000
2333,560,34.833333
2333,600,37.833333
2333,639,41.233333
2333,680,39.233333
2333,719,44.266667
2333,759,48.233333
2333,800,51.733333
2333,840,53.166667
2333,879,56.766667
2333,919,54.900000
2333,959,60.433333
2500,200,13.833333
2500,239,15.466667
2333,1000,60.000000
2333,1040,60.633333
2333,1080,63.866667
2500,280,16.200000
2333,1120,67.566667
2500,319,19.766667
2333,1159,71.533333
2333,1200,71.266667
2500,360,25.600000
2333,1239,73.666667
2333,1279,74.200000
2500,400,27.966667
2333,1320,77.266667
2500,439,28.700000
2333,1360,80.766667
2500,479,31.633333
2500,520,35.300000
2500,560,37.633333
2500,600,38.366667
2500,639,41.066667
2500,680,45.533333
2500,719,45.466667
2500,759,49.400000
2500,800,50.733333
2500,840,55.500000
2500,879,56.333333
2500,919,59.300000
2500,959,61.233333
2666,200,14.200000
2500,1040,65.166667
2500,1000,63.133333
2666,239,17.633333
2500,1080,68.966667
2500,1120,71.100000
2666,280,19.366667
2500,1159,72.400000
2500,1200,73.333333
2666,319,24.133333
2500,1239,76.733333
2500,1279,79.933333
2666,360,24.066667
2500,1320,81.566667
2666,400,29.233333
2500,1360,82.633333
2666,439,30.500000
2666,479,33.800000
2666,520,35.000000
2666,560,37.800000
2666,600,39.866667
2666,680,44.733333
2666,639,42.266667
2666,759,52.400000
2666,719,50.966667
2666,800,50.866667
2666,840,54.633333
2666,879,60.100000
2666,919,57.400000
2666,959,62.300000
2833,200,13.666667
2666,1000,65.633333
2666,1040,69.133333
2833,239,17.266667
2666,1080,70.133333
2833,280,20.833333
2666,1120,69.900000
2666,1159,77.000000
2666,1200,73.500000
2833,319,24.800000
2666,1239,76.966667
2833,360,25.933333
2666,1279,81.800000
2833,400,27.533333
2833,439,30.433333
2666,1320,83.366667
2666,1360,84.566667
2833,479,34.266667
2833,520,35.666667
2833,560,41.166667
2833,600,39.500000
2833,639,45.633333
2833,680,46.566667
2833,719,50.766667
2833,759,53.366667
2833,800,54.133333
2833,840,55.233333
2833,879,61.533333
2833,919,61.833333
2833,959,63.100000
2833,1000,67.000000
3000,200,14.766667
2833,1040,71.433333
3000,239,16.966667
2833,1080,69.833333
2833,1120,72.800000
2833,1159,76.433333
3000,280,20.000000
2833,1200,76.033333
3000,319,23.233333
3000,360,27.500000
2833,1239,79.200000
2833,1279,81.500000
2833,1320,81.566667
3000,400,26.533333
3000,439,31.766667
2833,1360,81.733333
3000,479,34.900000
3000,520,37.733333
3000,560,37.633333
3000,600,40.633333
3000,639,45.233333
3000,680,49.633333
3000,719,48.866667
3000,759,52.166667
3000,800,53.166667
3000,840,55.533333
3000,879,60.100000
3000,919,64.400000
3000,959,63.533333
3166,200,16.333333
3000,1000,67.166667
3000,1040,68.866667
3000,1080,66.633333
3166,239,18.866667
3000,1120,69.900000
3000,1159,74.066667
3166,280,22.333333
3000,1200,74.900000
3166,319,23.166667
3000,1239,75.966667
3166,360,27.933333
3000,1279,82.166667
3166,400,29.333333
3000,1320,83.666667
3166,439,32.433333
3166,479,37.433333
3000,1360,82.900000
3166,520,37.900000
3166,560,40.333333
3166,600,44.100000
3166,639,45.733333
3166,680,48.700000
3166,719,52.100000
3166,759,51.600000
3166,800,55.066667
3166,840,54.766667
3166,879,62.966667
3166,919,58.866667
3166,959,62.233333
3166,1000,63.233333
3333,200,15.400000
3166,1040,66.833333
3333,239,17.700000
3166,1080,68.566667
3166,1120,72.233333
3333,280,22.266667
3166,1159,73.200000
3333,319,24.966667
3166,1200,73.966667
3166,1239,79.666667
3333,360,26.733333
3166,1279,78.133333
3166,1320,79.433333
3333,400,29.300000
3166,1360,82.166667
3333,439,31.400000
3333,479,37.200000
3333,520,39.600000
3333,560,39.733333
3333,600,41.233333
3333,639,44.500000
3333,680,47.233333
3333,719,50.200000
3333,759,51.200000
3333,800,55.333333
3333,840,56.466667
3333,879,58.333333
3333,919,63.733333
3333,959,63.400000
3333,1000,66.100000
3500,200,16.733333
3333,1040,65.166667
3333,1080,67.266667
3500,239,18.800000
3333,1120,68.700000
3333,1159,71.200000
3500,280,20.933333
3333,1200,69.900000
3333,1239,75.166667
3500,319,23.900000
3500,360,25.433333
3333,1279,77.233333
3500,400,29.733333
3333,1320,77.966667
3333,1360,78.566667
3500,439,31.133333
3500,479,35.100000
3500,520,37.333333
3500,560,39.066667
3500,600,42.600000
3500,639,45.800000
3500,680,47.333333
3500,719,50.433333
3500,759,50.166667
3500,800,53.866667
3500,840,55.600000
3500,879,56.566667
3500,919,58.233333
3500,959,61.400000
3500,1000,61.166667
3500,1040,65.833333
3500,1080,65.700000
3666,200,16.633333
3666,239,17.466667
3500,1120,67.533333
3666,280,20.800000
3500,1159,71.300000
3500,1200,75.066667
3500,1239,73.400000
3666,319,24.433333
3666,360,29.400000
3500,1279,73.600000
3666,400,31.266667
3500,1320,73.633333
3666,439,33.766667
3666,479,35.366667
3500,1360,78.500000
3666,520,35.033333
3666,560,41.266667
3666,600,42.933333
3666,639,43.033333
3666,680,49.666667
3666,719,51.133333
3666,759,48.700000
3666,800,51.266667
3666,840,55.366667
3666,879,53.933333
3666,919,58.266667
3833,200,14.533333
3666,959,61.733333
3666,1000,61.433333
3666,1040,60.933333
3666,1080,63.066667
3666,1120,67.533333
3833,239,18.833333
3666,1159,68.466667
3833,280,21.733333
3666,1200,64.833333
3833,319,25.033333
3666,1239,69.800000
3666,1279,69.733333
3833,360,26.700000
3833,400,28.000000
3666,1320,70.000000
3833,439,31.866667
3666,1360,74.000000
3833,479,35.966667
3833,520,37.700000
3833,560,38.033333
3833,600,41.833333
3833,639,42.400000
3833,680,47.033333
3833,719,46.466667
3833,759,49.066667
3833,800,47.200000
3833,840,52.866667
3833,879,53.800000
3833,919,55.366667
3833,959,55.866667
3833,1000,59.666667
4000,200,16.233333
3833,1040,61.666667
3833,1080,62.033333
4000,239,18.466667
3833,1120,63.133333
4000,280,21.000000
3833,1159,67.533333
4000,319,25.333333
3833,1200,64.800000
3833,1239,67.733333
3833,1279,68.133333
4000,360,26.300000
3833,1320,68.400000
4000,400,26.966667
3833,1360,72.233333
4000,439,32.500000
4000,479,32.333333
4000,520,36.300000
4000,560,37.233333
4000,600,40.533333
4000,639,42.066667
4000,680,42.700000
4000,719,43.866667
4000,759,48.400000
4000,800,47.500000
4000,840,48.366667
4000,879,51.600000
4000,919,51.666667
4000,959,54.066667
4000,1000,54.466667
4000,1040,57.366667
4166,200,13.800000
4000,1080,60.700000
4000,1120,61.400000
4166,239,17.266667
4166,280,21.333333
4000,1159,61.200000
4000,1200,60.900000
4000,1239,63.800000
4166,319,21.800000
4000,1279,63.466667
4166,360,24.600000
4166,400,28.433333
4000,1320,63.666667
4166,439,29.933333
4000,1360,66.466667
4166,479,33.600000
4166,520,33.666667
4166,560,36.266667
4166,600,40.400000
4166,639,40.033333
4166,680,42.966667
4166,719,40.966667
4166,759,42.866667
4166,800,45.366667
4166,840,49.033333
4166,879,50.266667
4166,919,49.966667
4166,959,53.100000
4166,1000,53.366667
4166,1040,54.266667
4333,200,15.200000
4166,1080,53.600000
4166,1120,55.900000
4333,239,17.766667
4166,1159,57.166667
4333,280,19.333333
4166,1200,60.266667
4166,1239,60.733333
4333,319,21.900000
4166,1279,64.000000
4166,1320,60.333333
4333,360,24.033333
4333,400,26.433333
4166,1360,62.433333
4333,439,27.400000
