pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,15.633333
1000,239,18.366667
1000,280,22.766667
1000,360,27.800000
1000,319,25.133333
1000,400,30.066667
1000,439,31.933333
1000,479,35.600000
1000,520,37.833333
1000,560,38.533333
1000,639,45.433333
1000,600,41.466667
1000,719,49.900000
1000,680,47.600000
1000,759,50.866667
1000,800,52.566667
1000,840,56.500000
1000,879,58.600000
1000,919,60.233333
1000,959,59.933333
1166,200,18.300000
1166,239,21.533333
1166,280,24.766667
1166,319,27.533333
1000,1040,67.800000
1166,360,30.300000
1000,1000,63.766667
1166,400,33.000000
1000,1080,67.733333
1000,1120,74.300000
1166,439,37.200000
1166,479,39.766667
1000,1159,72.166667
1000,1200,73.366667
1166,520,43.600000
1166,560,46.700000
1000,1239,77.833333
1000,1279,80.200000
1000,1360,81.400000
1000,1320,77.400000
1166,639,48.233333
1166,600,46.933333
1166,680,53.666667
1166,719,53.400000
1166,759,56.766667
1166,800,60.433333
1166,840,60.166667
1166,879,62.400000
1166,919,69.133333
1333,200,19.266667
1333,239,22.900000
1166,959,68.966667
1166,1080,76.500000
1166,1040,73.100000
1166,1000,73.200000
1166,1120,80.866667
1166,1159,80.966667
1333,280,25.633333
1166,1200,81.533333
1166,1239,81.233333
1333,319,30.466667
1333,360,35.000000
1166,1320,88.900000
1166,1279,84.466667
1333,400,36.133333
1166,1360,92.966667
1333,439,37.800000
1333,479,44.533333
1333,520,45.733333
1333,560,46.033333
1333,600,51.033333
1333,639,51.900000
1333,680,56.000000
1333,759,64.933333
1333,719,61.066667
1333,800,62.233333
1333,840,69.766667
1333,879,72.400000
1333,919,73.433333
1333,959,78.366667
1500,200,20.500000
1333,1000,77.633333
1500,239,27.066667
1333,1040,81.400000
1500,280,27.800000
1333,1080,81.766667
1333,1120,84.866667
1333,1159,88.766667
1500,319,30.500000
1333,1200,89.300000
1500,360,36.400000
1333,1239,92.500000
1500,400,39.800000
1333,1279,92.833333
1333,1320,91.166667
