pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,13.566667
1000,280,18.100000
1000,239,15.433333
1000,319,19.466667
1000,360,21.500000
1000,400,23.633333
1000,439,25.566667
1000,479,27.533333
1000,520,29.600000
1000,600,33.100000
1000,560,34.666667
1000,639,34.700000
1000,719,35.333333
1000,680,34.233333
1000,759,38.266667
1000,800,41.100000
1000,840,42.266667
1000,879,41.200000
1000,919,45.400000
1000,959,46.366667
1166,200,15.166667
1166,239,17.700000
1166,319,21.366667
1166,280,20.533333
1166,360,24.933333
1000,1000,47.366667
1000,1040,49.066667
1166,400,27.500000
1000,1080,48.166667
1166,439,29.733333
1000,1120,50.133333
1166,520,32.633333
1166,479,32.900000
1000,1159,49.200000
1000,1200,55.066667
1166,560,35.800000
1000,1239,52.266667
1000,1279,51.866667
1000,1320,54.566667
1000,1360,54.666667
1166,600,38.300000
1166,639,38.466667
1166,680,41.433333
1166,719,42.700000
1166,759,43.833333
1166,800,42.400000
1166,840,45.033333
1166,879,50.900000
1333,200,16.433333
1166,919,50.800000
1166,959,51.266667
1333,239,19.066667
1166,1000,49.733333
1166,1040,53.866667
1166,1080,53.933333
1333,280,19.933333
1166,1120,54.633333
1333,319,22.966667
1166,1159,56.033333
1166,1200,54.066667
1333,360,27.466667
1166,1239,57.466667
1333,400,27.833333
1166,1279,58.200000
1166,1320,59.966667
1333,439,32.033333
1333,479,33.566667
1166,1360,61.666667
1333,520,35.933333
1333,560,38.666667
1333,600,40.366667
1333,639,40.600000
1333,680,42.733333
1333,719,44.833333
1333,759,45.600000
1333,800,47.800000
1333,840,50.733333
1333,879,47.866667
1500,200,17.000000
1333,919,52.400000
1333,959,52.733333
1500,239,21.400000
1333,1000,56.366667
1333,1040,56.700000
1500,280,22.400000
1333,1080,62.133333
1333,1120,59.733333
1500,319,24.133333
1333,1200,61.166667
1333,1159,63.600000
1500,360,28.300000
1333,1239,63.000000
1500,400,30.200000
1333,1279,64.100000
1500,439,35.233333
1333,1320,65.600000
1500,479,35.766667
1333,1360,66.033333
1500,520,37.833333
1500,560,44.266667
1500,639,43.633333
1500,600,40.233333
1500,680,45.200000
1500,719,49.166667
1500,759,50.600000
1500,800,51.200000
1500,840,53.700000
1500,879,56.200000
1666,200,18.733333
1500,919,60.533333
1500,959,58.033333
1666,239,20.866667
1500,1000,57.933333
1666,280,24.733333
1500,1080,63.433333
